Rank,Country (or dependent territory),Population,Date,"% of world
population",Source
84,Portugal,10477800,12/31/2013,0.15%,Annual official estimate,PORT,null
85,Dominican Republic,10378267,2014,0.14%,Official estimate,null,null
86,"Bolivia, Plurinational State of",10027254,11/21/2012,0.14%,2012 census result,null,null
87,Benin,9988068,7/1/2014,0.14%,Official annual projection,null,null
88,Hungary,9879000,1/1/2014,0.14%,Annual official estimate,HUNG,null
89,Sweden,9716962,8/31/2014,0.14%,Monthly official estimate,SWED,null
90,Azerbaijan,9540400,8/1/2014,0.13%,Official estimate,null,null
91,Burundi,9530434,7/1/2014,0.13%,Official annual projection,null,null
92,Belarus,9469200,7/1/2014,0.13%,Quarterly official estimate,BLR,null
93,United Arab Emirates,9446000,7/1/2014,0.13%,UN projection,ARE,null
94,Honduras,8725111,7/1/2014,0.12%,Annual official estimate,null,null
95,Austria,8527230,4/1/2014,0.12%,Official quarterly estimate,AUST,null
96,Israel,8238300,8/31/2014,0.11%,Official Monthly Estimate,ISR,null
97,Switzerland,8183800,6/30/2014,0.11%,Quarterly provisional figure,CHE,null
98,Tajikistan,8161000,1/1/2014,0.11%,Official estimate,null,null
99,Papua New Guinea,7398500,7/1/2013,0.10%,Annual official estimate,null,null
100,Bulgaria,7245677,12/31/2013,0.10%,Official estimate,null,null
101,* Hong Kong* (China),7234800,7/1/2014,0.10%,Official estimate,HKG
102,Serbia,7146759,1/1/2014,0.10%,Annual official estimate,null,null
103,Togo,6993000,7/1/2014,0.10%,UN projection,null,null
104,Paraguay,6893727,2014,0.10%,Official estimate,null,null
105,"Lao People's Democratic Republic",6693300,7/1/2014,0.09%,Annual official projection,null,null
106,Jordan,6646840,10/24/2014,0.09%,Official population clock,JOR,null
107,Eritrea,6536000,7/1/2014,0.09%,UN projection,null,null
108,El Salvador,6401240,2014,0.09%,Official estimate,null,null
109,Libya,6253000,7/1/2014,0.09%,UN projection,null,null
110,Sierra Leone,6205000,7/1/2014,0.09%,UN projection,null,null
111,Nicaragua,6146400,2013,0.09%,Official estimate,null,null
112,Turkmenistan,5824960,10/24/2014,0.08%,Official population clock,null,null
113,Kyrgyzstan,5776570,2014,0.08%,Official estimate,null,null
114,Denmark,5639719,7/1/2014,0.08%,Quarterly official estimate,DENM,null
115,Singapore,5469700,7/1/2014,0.08%,Official estimate,SGP,null
116,Finland,5468609,9/30/2014,0.08%,Monthly official estimate,FINL,null
117,Slovakia,5415949,12/31/2013,0.08%,Official estimate,null,null
118,Norway,5137679,7/1/2014,0.07%,Quarterly official estimate,NORW,null
119,Central African Republic,4709000,7/1/2014,0.07%,UN projection,CAF,null
120,Costa Rica,4667096,7/1/2013,0.07%,Official estimate,CRI,null
121,Ireland,4609600,4/1/2014,0.06%,Annual official estimate,IRL
122,Congo,4559000,7/1/2014,0.06%,UN projection,null,null
123,* Palestine*,4550368,7/1/2014,0.06%,Official estimate,null,null
124,New Zealand,4536140,10/24/2014,0.06%,Official population clock,NZL,null
125,Georgia,4490500,1/1/2014,0.06%,Annual official estimate,null,null
126,Liberia,4397000,7/1/2014,0.06%,UN projection,null,null
127,Croatia,4267558,7/1/2012,0.06%,Annual official estimate,null,null
128,Lebanon,4104000,7/1/2012,0.06%,Official estimate,null,null
129,Oman,4071147,10/22/2014,0.06%,Weekly official estimate,null,null
130,Bosnia and Herzegovina,3791622,10/15/2013,0.05%,Preliminary 2013 census result,null,null
131,Panama,3713312,2014,0.05%,Official estimate,PANM,null
132,* Puerto Rico* (USA),3615086,7/1/2013,0.05%,Official estimate,null,null
133,"Moldova, Republic of",3557600,1/1/2014,0.05%,Official estimate,null,null
134,Mauritania,3545620,7/1/2014,0.05%,Annual official estimate,null,null
135,Uruguay,3404189,6/30/2014,0.05%,Annual official estimate,URUG,null
136,Kuwait,3065850,7/1/2011,0.04%,Official estimate,null,null
137,Armenia,3009800,6/30/2014,0.04%,Monthly official estimate,null,null
138,Mongolia,2978997,10/24/2014,0.04%,Official population clock,MNG,null
139,Lithuania,2927310,10/1/2014,0.04%,Monthly official estimate,null,null
140,Albania,2895947,1/1/2014,0.04%,Annual official estimate,null,null
141,Jamaica,2717991,12/31/2013,0.04%,Annual official estimate,JAMC,null
142,Qatar,2187326,9/30/2014,0.03%,Monthly official estimate,null,null
143,Namibia,2113077,8/28/2011,0.03%,Final 2011 census result,null,null
144,Lesotho,2098000,7/1/2014,0.03%,UN projection,null,null
145,"Macedonia, the former Yugoslav Republic of",2065769,12/31/2013,0.03%,Official estimate,null,null
146,Slovenia,2064394,10/24/2014,0.03%,Official population clock,null,null
147,Botswana,2024904,8/22/2011,0.03%,Final 2011 census result,null,null
148,Latvia,1991800,10/1/2014,0.03%,Monthly official estimate,null,null
149,Gambia,1882450,4/15/2013,0.03%,Preliminary 2013 census result,null,null
150,Kosovo,1816891,2014,0.03%,Official annual projection,null,null
151,Guinea-Bissau,1746000,7/1/2014,0.02%,UN projection,null,null
152,Gabon,1711000,7/1/2014,0.02%,UN projection,null,null
153,Equatorial Guinea,1430000,7/1/2013,0.02%,Annual official estimate,null,null
154,Trinidad and Tobago,1328019,1/9/2011,0.02%,2011 census result,null,null
155,Bahrain,1316500,7/1/2014,0.02%,Official annual projection,null,null
156,Estonia,1315819,1/1/2014,0.02%,Official estimate,null,null
157,Mauritius,1261208,7/1/2014,0.02%,Official estimate,MAUT,null
158,Timor-Leste,1212107,7/1/2014,0.02%,Official estimate,null,null
159,Swaziland,1106189,7/1/2014,0.02%,Official projection,null,null
160,Djibouti,886000,7/1/2014,0.01%,UN projection,null,null
161,Fiji,859178,7/1/2013,0.01%,Annual official estimate,null,null
162,Cyprus,858000,1/1/2014,0.01%,Official estimate,CYPR,null
163,* Réunion* (France),840974,1/1/2013,0.01%,Official annual estimate,FRA,dep
164,Guyana,784894,7/1/2010,0.01%,Annual official estimate,null,null
165,Comoros,763952,7/1/2014,0.01%,Official estimate,null,null
166,Bhutan,753160,10/24/2014,0.01%,Official population clock,null,null
167,Montenegro,620029,4/1/2011,0.01%,Final 2011 census result,null,null
168,* Macau* (China),614500,3/31/2014,0.01%,Official quaterly estimate,CHN,dep
169,Western Sahara,586000,7/1/2014,0.01%,UN projection,null,null
170,Solomon Islands,581344,7/1/2013,0.01%,Annual official estimate,null,null
171,Luxembourg,549700,12/31/2013,0.01%,Annual official estimate,LUX,null
172,Suriname,534189,8/13/2012,0.01%,PreliAUSminary 2012 census result,null,null
173,Cape Verde,518467,7/1/2014,0.01%,Official annual projection,null,null
,Transnistria,505153,1/1/2014,0.01%,Official estimate,null,null
174,Malta,416055,11/20/2011,0.01%,Preliminary 2011 census result,MALT,null
175,* Guadeloupe* (France),405739,1/1/2013,0.01%,Official annual estimate,FRA,dep
176,Brunei,393372,6/20/2011,0.01%,Preliminary 2011 census result,null,null
177,* Martinique* (France),386486,1/1/2013,0.01%,Official annual estimate,FRA,dep
178,Bahamas,368390,7/1/2013,0.01%,Annual official estimate,BHM,null
179,Belize,349728,7/1/2013,0.00%,Official estimate,BLZ,null
180,Maldives,341848,7/1/2014,0.00%,Official estimate,null,null
181,Iceland,328170,10/1/2014,0.00%,Official quaterly estimate,null,null
,Northern Cyprus,294906,4/30/2006,0.00%,Official census,null,null
182,Barbados,285000,7/1/2013,0.00%,Official estimate,BARB,null
183,* French Polynesia* (France),268270,8/22/2012,0.00%,Preliminary 2012 census result,FRA,dep
184,Vanuatu,264652,7/1/2013,0.0AUS0%,Annual official estimate,null,null
185,* New Caledonia* (France),258958,7/1/2013,0.00%,Annual official estimate,FRA,dep
,Abkhazia,240705,2011,0.00%,Official census,null,null
186,Franch Guyana,237549,1/1/2011,0.00%,Official annual estimate,FRA,dep
187,* Mayotte* (France),212645,8/21/2012,0.00%,2012 census result,FRA,dep
188,Samoa,187820,11/7/2011,0.00%,Final 2011 census result,null,null
189,São Tomé and Príncipe,187356,5/13/2012,0.00%,2012 census result,null,null
190,Saint Lucia,184000,7/1/2014,0.00%,UN projection,null,null
191,* Guam* (USA),159358,4/1/2010,0.00%,Final 2010 census result,guam,null
192,* Curaçao* (Netherlands),150563,3/26/2011,0.00%,2011 census result,NETH,dep
193,Saint Vincent and the Grenadines,109000,7/1/2014,0.00%,UN projection,null,null
194,Kiribati,106461,7/1/2013,0.00%,Annual official estimate,null,null
195,* United States Virgin Islands* (USA),106405,4/1/2010,0.00%,Final 2010 census result,USA,null
196,Grenada,103328,5/12/2011,0.00%,2011 census result,null,null
197,Tonga,103252,11/30/2011,0.00%,2011 census result,null,null
198,* Aruba* (Netherlands),101484,9/29/2010,0.00%,2010 census result,NETH,dep
199,Federated States of Micronesia,101351,7/1/2013,0.00%,Annual official estimate,null,null
200,* Jersey* (UK),99000,12/31/2012,0.00%,Annual official estimate,GBR,dep
201,Seychelles,89949,7/1/2013,0.00%,Annual official estimate,null,null
202,Antigua and Barbuda,86295,5/27/2011,0.00%,Preliminary 2011 census result,ATG,null
203,* Isle of Man* (UK),84497,3/27/2011,0.00%,2011 census result,IMN,dep
204,Andorra,76098,7/1/2013,0.00%,Annual official estimate,null,null
205,Dominica,71293,5/14/2011,0.00%,Preliminary 2011 census result,DOMR,null
206,* Bermuda* (UK),64237,5/20/2010,0.00%,Final 2010 census result,GBR,dep
207,* Guernsey* (UK),63085,3/31/2012,0.00%,Annual official estimate,GBR,dep
208,Greenland,56295,7/1/2014,0.00%,Annual official estimate,null,null
209,Marshall Islands,56086,7/1/2013,0.00%,Annual official estimate,null,null
210,* American Samoa* (USA),55519,4/1/2010,0.00%,Final 2010 census result,null,null
211,* Cayman Islands* (UK),55456,10/10/2010,0.00%,Final 2010 census result,GBR,dep
212,Saint Kitts and Nevis,55000,7/1/2014,0.00%,UN projection,null,null
213,* Northern Mariana Islands* (USA),53883,4/1/2010,0.00%,Final 2010 census result,null,null
,South Ossetia,51547,1/1/2013,0.00%,Estimate,null,null
214,* Faroe Islands* (Denmark),48723,8/1/2014,0.00%,Monthly official estimate,null,null
215,* Sint Maarten* (Netherlands),37429,1/1/2010,0.00%,Official estimate,NETH,dep
216,Liechtenstein,37132,12/31/2013,0.00%,Semi annual official estimate,null,null
217,* Saint Martin* (France),36979,1/1/2010,0.00%,Official estimate,FRA,dep
218,Monaco,36950,12/31/2013,0.00%,Annual official estimate,MCO,null
219,San Marino,32727,8/31/2014,0.00%,Monthly official estimate,null,null
220,* Turks and Caicos Islands* (UK),31458,1/25/2012,0.00%,2012 census result,GBR,dep
221,* Gibraltar* (UK),30001,12/31/2012,0.00%,Annual official estimate,GBR,dep
222,* British Virgin Islands* (UK),29537,7/1/2010,0.00%,Annual official estimate,GBR,dep
223,* Åland Islands* (Finland),28875,9/30/2014,0.00%,Official estimate,null,null
224,* Caribbean Netherlands* (Netherlands),23296,1/1/2013,0.00%,Official estimate,NETH,dep
225,Palau,20901,7/1/2013,0.00%,Annual official estimate,null,null
226,* Cook Islands* (NZ),14974,12/1/2011,0.00%,Final 2011 census result,null,null
227,* Anguilla* (UK),13452,5/11/2011,0.00%,Preliminary 2011 census result,AIA,dep
228,* Wallis and Futuna* (France),13135,7/1/2013,0.00%,Annual official estimate,FRA,dep
229,Tuvalu,11323,7/1/2013,0.00%,Annual official estimate,null,null
230,Nauru,10084,10/30/2011,0.00%,2011 census result,null,null
231,* Saint Barthélemy* (France),8938,1/1/2010,0.00%,Official estimate,FRA,dep
232,* Saint Pierre and Miquelon* (France),6081,1/1/2010,0.00%,Official estimate,FRA,dep
233,* Montserrat* (UK),4922,5/12/2011,0.00%,2011 census result,GBR,dep
234,"* Saint Helena, Ascension and Tristan da Cunha* (UK)",4000,7/1/2014,0.00%,UN projection,GBR,dep
235,* Falkland Islands* (UK),3000,7/1/2014,0.00%,UN projection,GBR,dep
236,* Svalbard and Jan Mayen* (Norway),2655,9/1/2012,0.00%,Official estimate,null,null
237,* Norfolk Island* (Australia),2302,8/9/2011,0.00%,2011 census result,AUS,dep
238,* Christmas Island* (Australia),2072,8/9/2011,0.00%,2011 census result,AUS,dep
239,* Niue* (NZ),1613,9/10/2011,0.00%,Final 2011 census result,null,null
240,* Tokelau* (NZ),1411,10/18/2011,0.00%,Final 2011 census result,null,null
241,Vatican City,839,7/1/2012,0.00%,Official estimate,null,null
242,* Cocos (Keeling) Islands* (Australia),550,8/9/2011,0.00%,2011 census result,AUS,dep
243,* Pitcairn Islands* (UK),56,2013,0.00%,Official estimate,GBR,dep
