Rank,Country (or dependent territory),Population,Date,"% of world
population",Source,,
68,Colombia,1811,7/1/2014,0.22%,UN projection,COL,null
69,Sweden,53,7/1/2014,0.21%,Official annual projection,SWE,null
70,Germany,173,7/1/2014,0.21%,Official estimate,DEU,null
71,Sudan,1,11/19/2013,0.19%,2013 census result,SDN,null
72,CuraĂ§ao,29,7/1/2014,0.18%,UN projection,CUW,null
73,Hong Kong,37391,8/17/2012,0.18%,2012 Census Result,HKG,null
74,Bahamas,3791,7/1/2014,0.16%,Official annual projection,BHS,null
75,Dominican Republic,477,9/1/2014,0.16%,Monthly official estimate,DOM,null
76,American Samoa,1,12/31/2013,0.16%,Annual official estimate,ASM,null
77,Qatar,27,7/1/2014,0.15%,Official annual projection,QAT,null
78,Romania,7,1/1/2014,0.15%,Official estimate,ROU,null
79,U.S. Virgin Islands,4,4/23/2014,0.15%,Preliminary 2014 census result,VIR,null
80,Peru,46,7/1/2014,0.15%,UN projection,PER,null
81,Indonesia,28,2014,0.15%,Official projection,IDN,null
82,Italy,340,4/2/2014,0.15%,Preliminary 2014 census result,ITA,null
83,Honduras,24,6/30/2014,0.15%,Official quarterly estimate,HND,null
84,Cameroon,1,12/31/2013,0.15%,Annual official estimate,CMR,null
85,Azerbaijan,8,2014,0.14%,Official estimate,AZE,null
86,United Arab Emirates,6998,11/21/2012,0.14%,2012 census result,ARE,null
87,Uzbekistan,5,7/1/2014,0.14%,Official annual projection,UZB,null
88,Nigeria,21,1/1/2014,0.14%,Annual official estimate,NGA,null
89,Guam,1,8/31/2014,0.14%,Monthly official estimate,GUM,null
90,Antigua and Barbuda,18,8/1/2014,0.13%,Official estimate,ATG,null
91,Mali,8,7/1/2014,0.13%,Official annual projection,MLI,null
92,Estonia,862,7/1/2014,0.13%,Quarterly official estimate,EST,null
93,Central African Republic,1,7/1/2014,0.13%,UN projection,CAF,null
94,Cayman Islands,106,7/1/2014,0.12%,Annual official estimate,CYM,null
95,Syria,4,4/1/2014,0.12%,Official quarterly estimate,SYR,null
96,Macao,25,8/31/2014,0.11%,Official Monthly Estimate,MAC,null
97,Poland,157,6/30/2014,0.11%,Quarterly provisional figure,POL,null
98,Oman,2,1/1/2014,0.11%,Official estimate,OMN,null
99,Australia,94,7/1/2013,0.10%,Annual official estimate,AUS,null
100,Norway,13,12/31/2013,0.10%,Official estimate,NOR,null
101,Botswana,6,7/1/2014,0.10%,Official estimate,BWA,
102,France,278,1/1/2014,0.10%,Annual official estimate,FRA,null
103,South Korea,8,7/1/2014,0.10%,UN projection,KOR,null
104,Anguilla,10,2014,0.10%,Official estimate,AIA,null
105,Argentina,267,7/1/2014,0.09%,Annual official projection,ARG,null
106,Uganda,1,10/24/2014,0.09%,Official population clock,UGA,null
107,Sint Maarten (Dutch part),1,7/1/2014,0.09%,UN projection,SXM,null
108,Ireland,307,2014,0.09%,Official estimate,IRL,null
109,United Kingdom,9460,7/1/2014,0.09%,UN projection,GBR,null
110,Kazakhstan,4,7/1/2014,0.09%,UN projection,KAZ,null
111,Luxembourg,10436,2013,0.09%,Official estimate,LUX,null
112,New Zealand,60,10/24/2014,0.08%,Official population clock,NZL,null
113,Isle of Man,4647,2014,0.08%,Official estimate,IMN,null
114,Malawi,1,7/1/2014,0.08%,Quarterly official estimate,MWI,null
115,Venezuela,720,7/1/2014,0.08%,Official estimate,VEN,null
116,Mozambique,3,9/30/2014,0.08%,Monthly official estimate,MOZ,null
117,Slovenia,21,12/31/2013,0.08%,Official estimate,SVN,null
118,United States,2966,7/1/2014,0.07%,Quarterly official estimate,USA,null
119,Panama,14651,7/1/2014,0.07%,UN projection,PAN,null
120,Chad,11,7/1/2013,0.07%,Official estimate,TCD,null
121,Ecuador,1768,4/1/2014,0.06%,Annual official estimate,ECU,
122,Lithuania,29,7/1/2014,0.06%,UN projection,LTU,null
123,Israel,647,7/1/2014,0.06%,Official estimate,ISR,null
124,Aruba,27,10/24/2014,0.06%,Official population clock,ABW,null
125,Albania,2,1/1/2014,0.06%,Annual official estimate,ALB,null
126,Sri Lanka,3,7/1/2014,0.06%,UN projection,LKA,null
127,Saint Lucia,3,7/1/2012,0.06%,Annual official estimate,LCA,null
128,Croatia,3,7/1/2012,0.06%,Official estimate,HRV,null
129,Costa Rica,878,10/22/2014,0.06%,Weekly official estimate,CRI,null
130,British Virgin Islands,951,10/15/2013,0.05%,Preliminary 2013 census result,VGB,null
131,Nicaragua,12,2014,0.05%,Official estimate,NIC,null
132,Bulgaria,50,7/1/2013,0.05%,Official estimate,BGR,null
133,Bermuda,140,1/1/2014,0.05%,Official estimate,BMU,null
134,Austria,23,7/1/2014,0.05%,Annual official estimate,AUT,null
135,Greece,214,6/30/2014,0.05%,Annual official estimate,GRC,null
136,Chile,139,7/1/2011,0.04%,Official estimate,CHL,null
137,Portugal,227,6/30/2014,0.04%,Monthly official estimate,PRT,null
138,Belgium,58,10/24/2014,0.04%,Official population clock,BEL,null
139,Andorra,472,10/1/2014,0.04%,Monthly official estimate,AND,null
140,Guernsey,7219,1/1/2014,0.04%,Annual official estimate,GGY,null
141,Lebanon,453,12/31/2013,0.04%,Annual official estimate,LBN,null
142,Jordan,1546,9/30/2014,0.03%,Monthly official estimate,JOR,null
143,Seychelles,611,8/28/2011,0.03%,Final 2011 census result,SYC,null
144,Macedonia,2,7/1/2014,0.03%,UN projection,MKD,null
145,Bahrain,12,12/31/2013,0.03%,Official estimate,BHR,null
146,Namibia,2,10/24/2014,0.03%,Official population clock,NAM,null
147,Senegal,3,8/22/2011,0.03%,Final 2011 census result,SEN,null
148,Ghana,3,10/1/2014,0.03%,Monthly official estimate,GHA,null
149,Georgia,1,4/15/2013,0.03%,Preliminary 2013 census result,GEO,null
150,Zimbabwe,8,2014,0.03%,Official annual projection,ZWE,null
151,Turkey,99,7/1/2014,0.02%,UN projection,TUR,null
152,Saint Kitts and Nevis,187,7/1/2014,0.02%,UN projection,KNA,null
153,Taiwan,2673,7/1/2013,0.02%,Annual official estimate,TWN,null
154,Bangladesh,2,1/9/2011,0.02%,2011 census result,BGD,null
155,Moldova,2,7/1/2014,0.02%,Official annual projection,MDA,null
156,Russian Federation,4167,1/1/2014,0.02%,Official estimate,RUS,null
157,Viet Nam,7,7/1/2014,0.02%,Official estimate,VNM,null
158,Netherlands,175,7/1/2014,0.02%,Official estimate,NLD,null
